event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome,note
-20,cevent_m20,-0.014143136669506527,0.006421341785355874,0.027628565435489527,-0.02672896656880404,-0.0015573067702090142,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-19,cevent_m19,-0.013841836452065735,0.0065254675027839855,0.03390478468769964,-0.026631752757522345,-0.0010519201466091237,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-18,cevent_m18,-0.011446318055553843,0.006272697807306063,0.06803364427244496,-0.023740805757873726,0.0008481696467660393,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-17,cevent_m17,-0.012499995440792257,0.005973464432011309,0.0363860167230079,-0.024207985727534423,-0.0007920051540500905,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-16,cevent_m16,-0.012792588667234157,0.00574971469151646,0.02608738622651363,-0.024062029462606417,-0.001523147871861896,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-15,cevent_m15,-0.008476635873090096,0.005432151167107087,0.11865203001383051,-0.019123652160619987,0.0021703804144397945,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-14,cevent_m14,-0.003222441179162587,0.004212347261567006,0.44427217735688473,-0.011478641811833919,0.005033759453508745,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-13,cevent_m13,-0.0003611144151281151,0.00425090894951014,0.9323011972965756,-0.00869289595616799,0.00797066712591176,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-12,cevent_m12,-0.0031250839496520036,0.004396074643740466,0.4771582612800964,-0.011741390251383318,0.005491222352079311,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-11,cevent_m11,-0.009212991441088211,0.0044115363428020955,0.03676301494687895,-0.01785960267298032,-0.0005663802091961049,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-10,cevent_m10,-0.010289806857458512,0.004319462724115363,0.01720973450406671,-0.018755953796724623,-0.0018236599181924024,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-9,cevent_m9,-0.01566129737317109,0.0038984701661747465,5.887047915997812e-05,-0.023302298898873593,-0.008020295847468585,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-8,cevent_m8,-0.013163100532408448,0.003553042828124979,0.00021160751975313197,-0.020127064475533404,-0.006199136589283489,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-7,cevent_m7,-0.012531688091538276,0.0036213242732832523,0.0005391204562030794,-0.01962948366717345,-0.0054338925159031016,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-6,cevent_m6,-0.015049043932994222,0.003348737491556306,6.991551400270524e-06,-0.021612569416444582,-0.008485518449543861,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-5,cevent_m5,-0.014334637182605213,0.0031649238211664686,5.920175062623656e-06,-0.02053788787209149,-0.008131386493118935,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-4,cevent_m4,-0.014951118990988332,0.0034604759136057464,1.556489818099749e-05,-0.021733651781655594,-0.00816858620032107,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-3,cevent_m3,-0.009915411389201143,0.002830138266526022,0.0004591732702192708,-0.015462482391592145,-0.0043683403868101395,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-2,cevent_m2,-0.0021203032472187425,0.0012981184577050221,0.10239193093450227,-0.004664615424320586,0.00042400892988310067,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-1,reference,0.0,,,,,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
0,cevent_0,-0.003758956568669994,0.0021847949204245355,0.08534018815179745,-0.008041154612702084,0.0005232414753620959,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
1,cevent_p1,-0.002932589900806408,0.002788527626037792,0.2929544272875164,-0.008398104047840482,0.0025329242462276648,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
2,cevent_p2,-0.003894379648493894,0.003028103427709794,0.19841555905162545,-0.00982946236680509,0.0020407030698173026,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
3,cevent_p3,-0.0029045040704843775,0.0031872946601401355,0.36215014351562047,-0.009151601604359044,0.0033425934633902884,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
4,cevent_p4,-0.0029954347893876923,0.003696720461053204,0.41777054212734543,-0.010241006893051973,0.004250137314276588,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
5,cevent_p5,-0.0015248682053875598,0.004107587994888638,0.7104647228354288,-0.00957574067536929,0.00652600426459417,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
6,cevent_p6,0.0011233041299032534,0.004127401289342987,0.7855007486851247,-0.006966402397209002,0.009213010657015509,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
7,cevent_p7,0.002845926119232234,0.004193980325273072,0.49740780426203957,-0.005374275318302988,0.011066127556767455,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
8,cevent_p8,0.005228654718866944,0.004648077104896346,0.26062842286794785,-0.003881576406729894,0.014338885844463783,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
9,cevent_p9,0.00913830500721552,0.0045956942573764014,0.04676202150574649,0.00013074426275777248,0.018145865751673266,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
10,cevent_p10,0.016138236975996714,0.004455016085373375,0.0002917843516476726,0.0074064054486649,0.024870068503328527,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
11,cevent_p11,0.01772181137278496,0.004463518593058801,7.176170657108294e-05,0.00897331493038971,0.02647030781518021,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
12,cevent_p12,0.0153580729150892,0.00478136800906259,0.0013178377970592958,0.005986591617326523,0.024729554212851876,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
13,cevent_p13,0.013129676847095921,0.005186475061007285,0.011356862236828302,0.002964185727521643,0.0232951679666702,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
14,cevent_p14,0.01250334302120177,0.005743695855118646,0.029489439028196562,0.0012456991451692233,0.023760986897234316,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
15,cevent_p15,0.01229380771150538,0.005726767872803462,0.03181501504187079,0.0010693426808105946,0.023518272742200162,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
16,cevent_p16,0.010370856672143526,0.006469675974522743,0.1089358114516461,-0.0023097082379210498,0.023051421582208104,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
17,cevent_p17,0.009035185885330067,0.007130726212528925,0.2051274223246391,-0.004941037491226624,0.02301140926188676,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
18,cevent_p18,0.010274174769895755,0.007490351971673201,0.17017102814508345,-0.004406915094583718,0.02495526463437523,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
19,cevent_p19,0.010827766996110044,0.008003269727275454,0.1760818552871175,-0.004858641669349843,0.02651417566156993,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
20,cevent_p20,0.011767306529402229,0.00809750977718017,0.146168049776769,-0.0041038126338709055,0.027638425692675363,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
21,cevent_p21,0.013485158316432232,0.007841556109063596,0.08548619289451875,-0.0018842916573324174,0.02885460829019688,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
22,cevent_p22,0.019754476987655915,0.008008577509053193,0.013637792070031907,0.004057665069911658,0.03545128890540017,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
23,cevent_p23,0.02185253483105811,0.008300711524739357,0.008473162043213689,0.005583140242568972,0.03812192941954725,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
24,cevent_p24,0.018840258179171523,0.00886404560428078,0.033547460184804256,0.0014667287947811962,0.03621378756356185,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
25,cevent_p25,0.017612830768699086,0.009480852354155208,0.06320786169295678,-0.0009696398454451215,0.0361953013828433,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
26,cevent_p26,0.01926831197552263,0.009654196407788215,0.04595043210241467,0.00034608701625772967,0.038190536934787536,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
27,cevent_p27,0.018164708591653318,0.009577357625378606,0.05787672210035377,-0.000606912354088749,0.03693632953739538,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
28,cevent_p28,0.017683479548637117,0.009715990976119429,0.06875311218593128,-0.0013598627645569628,0.036726821861831196,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
29,cevent_p29,0.0209951047712671,0.009723693972773905,0.030837008837901525,0.0019366645846302447,0.040053544957903954,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
30,cevent_p30,0.02198241815326224,0.009934681256578929,0.02691868999873348,0.0025104428903675383,0.04145439341615694,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
31,cevent_p31,0.022834947489706436,0.010022268331917276,0.02270150131793458,0.0031913015591485752,0.0424785934202643,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
32,cevent_p32,0.024862843473876683,0.010219169395520299,0.014975902190339285,0.004833271458656897,0.04489241548909647,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
33,cevent_p33,0.02877909853677975,0.010159198484079379,0.004614052567410765,0.008867069507984167,0.04869112756557533,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
34,cevent_p34,0.035426111423610435,0.010003573065882919,0.0003980914774357469,0.015819108214479915,0.05503311463274095,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
35,cevent_p35,0.03625137840997709,0.010140928228059187,0.0003505501235208097,0.016375159082981084,0.056127597736973095,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
36,cevent_p36,0.03585151142707936,0.010350801918625113,0.0005329077408597893,0.015563939666574138,0.05613908318758458,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
37,cevent_p37,0.030790275236393914,0.010932582784695152,0.004856862918199978,0.009362412978391417,0.05221813749439641,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
38,cevent_p38,0.03155911729284319,0.011112243993256467,0.00451091515621882,0.009779119066060517,0.05333911551962586,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
39,cevent_p39,0.02874339747721298,0.010971514473887814,0.008797608544444557,0.007239229108392864,0.0502475658460331,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
40,cevent_p40,0.03065745799368166,0.01116594474620791,0.006039639841077804,0.008772206291114158,0.05254270969624916,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
41,cevent_p41,0.034100646809488724,0.011542228660718697,0.003132524683161275,0.01147787863448008,0.05672341498449737,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
42,cevent_p42,0.039836341751429256,0.01180887498929165,0.0007423955013914352,0.01669094677241762,0.06298173673044088,sample1_total_ocup4d,ln_parados,National total CNO4 panel.
-20,cevent_m20,-0.01371295032240053,0.0051274647165345764,0.007486054412779275,-0.0237627811668083,-0.0036631194779927594,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-19,cevent_m19,-0.013304777963337787,0.005049804766305049,0.008420885885559004,-0.023202395305295682,-0.0034071606213798913,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-18,cevent_m18,-0.013346471724741196,0.00483769300244278,0.00580050656749731,-0.022828350009529045,-0.0038645934399533476,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-17,cevent_m17,-0.013456234627679618,0.004618852305693108,0.0035759806033284214,-0.02250918514683811,-0.0044032841085211265,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-16,cevent_m16,-0.013772618882660652,0.004499464194312549,0.0022063856303451423,-0.022591568703513247,-0.004953669061808056,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-15,cevent_m15,-0.0113280754700816,0.0038927504766484845,0.0036137778724076863,-0.01895786640431263,-0.003698284535850571,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-14,cevent_m14,-0.004774531678293392,0.002879883427366441,0.09733954876725459,-0.010419103195931617,0.0008700398393448319,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-13,cevent_m13,-0.003562584978003274,0.002984910738303303,0.23266128481800186,-0.009413010025077748,0.0022878400690712,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-12,cevent_m12,-0.00590814087800316,0.0034201677235018704,0.08408833912205083,-0.012611669616066825,0.0007953878600605062,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-11,cevent_m11,-0.011919937637445891,0.003536298700848204,0.000749670240425715,-0.018851083091108372,-0.004988792183783412,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-10,cevent_m10,-0.012811216620816177,0.003621894879247816,0.0004044567089196427,-0.019910130584141896,-0.005712302657490457,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-9,cevent_m9,-0.01765114490807659,0.0035114412795885738,4.988564890062719e-07,-0.024533569816070196,-0.010768720000082985,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-8,cevent_m8,-0.015147175694200009,0.003349250461647931,6.109706281343108e-06,-0.021711706599029955,-0.008582644789370064,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-7,cevent_m7,-0.015364192103341301,0.003489234349725496,1.0661002108447448e-05,-0.022203091428803272,-0.00852529277787933,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-6,cevent_m6,-0.018051289362386067,0.003445950287521043,1.6196874930152205e-07,-0.02480535192592731,-0.011297226798844822,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-5,cevent_m5,-0.017222386160476274,0.0032178807891891995,8.694434816547414e-08,-0.023529432507287104,-0.010915339813665444,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-4,cevent_m4,-0.017367685051881323,0.003349020850000845,2.149748932200879e-07,-0.02393176591788298,-0.010803604185879667,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-3,cevent_m3,-0.011120637783800109,0.002478275238445506,7.2148775636105e-06,-0.0159780572511533,-0.006263218316446918,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-2,cevent_m2,-0.0032691861045355463,0.0009742561462684357,0.0007920119599580389,-0.00517872815122168,-0.0013596440578494125,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-1,reference,0.0,,,,,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
0,cevent_0,-0.0031699706974726276,0.0019344262870960797,0.10127291680768402,-0.006961446220180944,0.0006215048252356885,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
1,cevent_p1,-0.0038282222093796634,0.0024024629874463688,0.11105763787450962,-0.008537049664774546,0.0008806052460152195,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
2,cevent_p2,-0.005602677905282255,0.002655500337005042,0.03487223470830303,-0.010807458565812136,-0.00039789724475237324,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
3,cevent_p3,-0.005147684871502181,0.002551762549438858,0.04366363196955381,-0.010149139468402343,-0.00014623027460201887,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
4,cevent_p4,-0.004329063714283597,0.0028938211146400617,0.13466200070803502,-0.010000953098978117,0.0013428256704109244,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
5,cevent_p5,-0.004650968340149778,0.003129487836748574,0.13723269013275452,-0.010784764500176982,0.0014828278198774263,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
6,cevent_p6,-0.004265741775289154,0.0033661597442589844,0.20506847822444163,-0.010863414874036763,0.002331931323458455,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
7,cevent_p7,-0.00512864973365635,0.003613776539654825,0.15584248480040275,-0.012211651751379806,0.001954352284067107,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
8,cevent_p8,-0.0034974015077138777,0.003709259689341764,0.34574025419407906,-0.010767550498823737,0.0037727474833959803,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
9,cevent_p9,0.0002613653399647127,0.0033966411014175134,0.9386647715929171,-0.006396051218813613,0.006918781898743039,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
10,cevent_p10,0.0067015401173867095,0.0027292034514298097,0.01406914717391028,0.0013523013525842823,0.012050778882189136,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
11,cevent_p11,0.009704694312140534,0.0028672645367462087,0.0007126839672535468,0.004084855820117965,0.015324532804163103,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
12,cevent_p12,0.00712492981308363,0.003292410627715485,0.030460778100651398,0.0006718049827612801,0.01357805464340598,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
13,cevent_p13,0.005176510362661112,0.0037553501842657617,0.16806867580214568,-0.0021839759984997814,0.012536996723822004,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
14,cevent_p14,0.0039759234010623935,0.004161400977774475,0.33936076692069683,-0.004180422515375578,0.012132269317500364,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
15,cevent_p15,0.0017939140685134653,0.004155151325479279,0.6659358087208527,-0.006350182529425922,0.009938010666452852,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
16,cevent_p16,-0.0004358297466756833,0.004752756813263425,0.9269360719223416,-0.009751233100671997,0.00887957360732063,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
17,cevent_p17,-0.0030334964502433085,0.005281618385540276,0.5657311175687996,-0.013385468485902248,0.007318475585415632,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
18,cevent_p18,-0.0040133564919484785,0.005574021178081629,0.471518230645271,-0.014938438000988472,0.006911725017091514,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
19,cevent_p19,-0.004485253254266132,0.006224506565920553,0.47116812947191766,-0.016685286123470415,0.0077147796149381505,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
21,cevent_p21,-0.0006519231112609805,0.0063358017675585925,0.9180462073009616,-0.01307009457567582,0.01176624835315386,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
22,cevent_p22,0.005403218369633551,0.006203326584717117,0.38374351036746246,-0.006755301736411999,0.0175617384756791,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
23,cevent_p23,0.008847603766917282,0.006371977459278527,0.1649794454053799,-0.0036414720532686306,0.021336679587103197,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
24,cevent_p24,0.0053910600893650774,0.006881958217557588,0.43341494509778755,-0.008097578017047795,0.01887969819577795,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
